age_group,female_1st_april_2010,females_1st_july_2010,females_1st_july_2015,females_1st_july_2020,females_1st_july_2025,male_1st_april_2010,males_1st_july_2010,males_1st_july_2015,males_1st_july_2020,males_1st_july_2025,total_1st_april_2010,total_1st_july_2010,total_1st_july_2015,total_1st_july_2020,total_1st_july_2025
Total,"* 1,387,526","* 1,388,908","* 1,342,605","* 1,308,752","* 1,267,110","* 1,308,072","* 1,309,375","* 1,270,222","* 1,254,161","* 1,239,002","* 2,695,598","* 2,698,283","* 2,612,827","* 2,562,913","* 2,506,112"
0-4,"* 91,787","* 91,878","* 85,880","* 84,089","* 73,030","* 94,100","* 94,194","* 91,604","* 91,556","* 81,719","* 185,887","* 186,072","* 177,484","* 175,645","* 154,749"
5-9,"* 81,955","* 82,037","* 75,127","* 72,315","* 71,749","* 84,122","* 84,206","* 78,084","* 80,469","* 83,273","* 166,077","* 166,242","* 153,212","* 152,784","* 155,021"
10-14,"* 81,192","* 81,273","* 70,171","* 65,527","* 63,587","* 83,274","* 83,357","* 72,796","* 70,218","* 74,634","* 164,466","* 164,630","* 142,966","* 135,745","* 138,221"
15-19,"* 91,405","* 91,496","* 71,908","* 62,590","* 58,634","* 91,528","* 91,619","* 74,251","* 66,486","* 65,504","* 182,933","* 183,115","* 146,159","* 129,077","* 124,139"
20-24,"* 114,620","* 114,734","* 95,001","* 74,745","* 65,174","* 108,407","* 108,515","* 94,362","* 76,048","* 67,723","* 223,027","* 223,249","* 189,362","* 150,793","* 132,897"
25-29,"* 141,208","* 141,349","* 130,138","* 107,456","* 86,086","* 134,931","* 135,065","* 122,648","* 103,945","* 83,099","* 276,139","* 276,414","* 252,786","* 211,401","* 169,186"
30-34,"* 119,584","* 119,703","* 142,649","* 131,147","* 108,403","* 119,828","* 119,947","* 135,877","* 123,031","* 104,151","* 239,412","* 239,650","* 278,526","* 254,179","* 212,554"
35-39,"* 99,857","* 99,956","* 103,013","* 128,947","* 118,685","* 100,651","* 100,751","* 103,397","* 124,024","* 114,060","* 200,508","* 200,708","* 206,410","* 252,971","* 232,745"
40-44,"* 87,674","* 87,761","* 83,969","* 89,929","* 116,809","* 89,957","* 90,047","* 84,855","* 92,043","* 115,049","* 177,631","* 177,808","* 168,824","* 181,972","* 231,858"
45-49,"* 86,217","* 86,303","* 76,168","* 74,429","* 81,086","* 85,645","* 85,730","* 78,117","* 76,170","* 85,011","* 171,862","* 172,033","* 154,285","* 150,599","* 166,098"
50-54,"* 86,037","* 86,123","* 78,301","* 69,567","* 68,323","* 80,838","* 80,919","* 76,936","* 71,439","* 70,628","* 166,875","* 167,041","* 155,237","* 141,006","* 138,950"
55-59,"* 76,170","* 76,246","* 79,542","* 72,727","* 64,546","* 68,441","* 68,509","* 72,926","* 70,362","* 65,841","* 144,611","* 144,755","* 152,468","* 143,089","* 130,387"
60-64,"* 63,646","* 63,709","* 69,742","* 73,609","* 67,318","* 54,592","* 54,646","* 60,320","* 65,522","* 63,757","* 118,238","* 118,356","* 130,062","* 139,131","* 131,075"
65-69,"* 47,366","* 47,413","* 57,254","* 63,533","* 67,411","* 37,704","* 37,742","* 46,965","* 53,037","* 58,297","* 85,070","* 85,155","* 104,219","* 116,570","* 125,708"
70-74,"* 38,238","* 38,276","* 40,778","* 50,339","* 56,306","* 27,787","* 27,815","* 30,174","* 39,016","* 44,768","* 66,025","* 66,091","* 70,953","* 89,355","* 101,074"
75-79,"* 30,252","* 30,282","* 31,751","* 34,283","* 42,788","* 20,448","* 20,468","* 21,159","* 23,630","* 31,205","* 50,700","* 50,751","* 52,910","* 57,913","* 73,993"
80-84,"* 24,467","* 24,491","* 23,463","* 24,878","* 27,022","* 14,637","* 14,652","* 13,923","* 14,776","* 16,790","* 39,104","* 39,143","* 37,386","* 39,654","* 43,812"
85+,"* 25,851","* 25,877","* 27,751","* 28,640","* 30,153","* 11,182","* 11,193","* 11,829","* 12,389","* 13,493","* 37,033","* 37,070","* 39,580","* 41,030","* 43,646"
65+,"* 166,174","* 166,340","* 180,997","* 201,673","* 223,680","* 111,758","* 111,869","* 124,050","* 142,849","* 164,553","* 277,932","* 278,209","* 305,047","* 344,523","* 388,233"
